time = 20150812-193516; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.280876; Hdg = 3.875463; type = 1.1.6.58
time = 20150812-193516; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.641045; Long = 37.621157; Alt = 147.880473; Hdg = 6.104634; type = 1.1.6.16
time = 20150812-193516; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705867; Long = 37.638059; Alt = 90.417092; Hdg = 5.676062; type = 2.17.26.10
time = 20150812-193516; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705798; Long = 37.637905; Alt = 90.298169; Hdg = 0.108084; type = 2.17.104.7
time = 20150812-193516; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721786; Long = 37.623743; Alt = 95.057957; Hdg = 1.069186; type = 2.17.26.10
time = 20150812-193516; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.733968; Long = 37.707196; Alt = 244.765104; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193516; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193516; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193516; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193516; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736097; Long = 37.666057; Alt = 108.439918; Hdg = 6.035953; type = 2.17.104.14
time = 20150812-193516; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736585; Long = 37.666463; Alt = 107.859513; Hdg = 6.113486; type = 2.17.104.80
time = 20150812-193516; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705817; Long = 37.637608; Alt = 86.771232; Hdg = 4.451414; type = 2.17.104.7
time = 20150812-193516; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705899; Long = 37.637877; Alt = 87.891642; Hdg = 4.926750; type = 2.17.26.10
time = 20150812-193516; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
